Price,Close,High,Low,Open,Volume
Ticker,MBG.DE,MBG.DE,MBG.DE,MBG.DE,MBG.DE
Date,,,,,
1996-10-30,10.742867469787598,10.836550061428772,10.734351763459971,10.82803326376367,1640521
1996-10-31,10.886429786682129,10.887643354215362,10.767189137178107,10.767189137178107,1908031
1996-11-01,10.937515258789062,11.047023358136192,10.894947631599972,10.949701135604684,2423211
1996-11-04,11.022682189941406,11.045810912275142,10.949702247512223,10.949702247512223,1284644
1996-11-05,11.229508399963379,11.229508399963379,11.016612438473437,11.070128361660995,2105206
1996-11-06,11.40107250213623,11.402286069616277,11.253848868868996,11.290350839646962,2973859
1996-11-07,11.339015007019043,11.412018950697616,11.197883216477095,11.39376851044682,2894508
1996-11-08,11.381607055664062,11.46067882462113,11.381607055664064,11.408352464362421,2001809
1996-11-11,11.432696342468262,11.436337044608285,11.369423864059357,11.375515710385978,1020742
1996-11-12,11.691850662231445,11.695491364662486,11.38036870691064,11.418084245074393,2786903
1996-11-13,11.691850662231445,11.691850662231445,11.691850662231445,11.691850662231445,0
1996-11-14,11.691850662231445,11.691850662231445,11.691850662231445,11.691850662231445,0
1996-11-15,11.87797737121582,11.933942258482329,11.728329875327573,11.922998324286262,1848517
1996-11-18,11.746578216552734,11.89258607521134,11.716168097696618,11.886494229402805,1451161
1996-11-19,11.819583892822266,11.824462172075014,11.72226167606111,11.74050993274684,741210
1996-11-20,11.734417915344238,11.922997782855486,11.693063858736753,11.837831977310003,1249177
1996-11-21,11.778225898742676,11.84999444726389,11.722262102505214,11.722262102505214,1651342
1996-11-22,11.849992752075195,11.874335035548407,11.740508680328235,11.80132892054173,1180045
1996-11-25,12.075075149536133,12.082380564594024,11.90474897183968,11.91083972795532,1502860
1996-11-26,12.135916709899902,12.25758010916234,12.117666272373635,12.117666272373635,1883384
1996-11-27,11.996000289916992,12.117668072604824,11.957073365750581,12.117668072604824,1188461
1996-11-28,12.148078918457031,12.184578709760954,11.98505706689783,12.032502975910779,974454
1996-11-29,12.263649940490723,12.312308314889506,12.135916523840725,12.166326643668071,1199282
1996-12-02,12.373159408569336,12.433979665775249,12.202832130933567,12.227151503113301,1104301
1996-12-03,12.81113338470459,12.829381642090093,12.531324225005598,12.543481726786265,2090177
1996-12-04,12.677308082580566,12.74422017845748,12.561734330860496,12.701648186872433,1395255
1996-12-05,12.476573944091797,12.792881855252604,12.32449819477085,12.665148397091945,2248879
1996-12-06,12.190648078918457,12.287992127683824,11.922998599500342,12.172420556664578,3265414
1996-12-09,12.446159362792969,12.458321230850553,12.275835369085247,12.287992871791767,1419902
1996-12-10,12.470478057861328,12.628647814305614,12.409656716153517,12.506980030122747,1175236
1996-12-11,12.184577941894531,12.385316413706967,12.10793547868169,12.385316413706967,1676590
1996-12-12,12.135916709899902,12.27583272936367,12.135916709899902,12.17848651296078,976859
1996-12-13,12.09941577911377,12.09941577911377,11.977750186762762,12.045876937949146,1356782
1996-12-16,12.36099910736084,12.470478838896948,12.014253812921117,12.105485285527877,1808241
1996-12-17,12.160238265991211,12.330565543055256,12.094537546234884,12.287993545829673,1686810
1996-12-18,12.166329383850098,12.23933333195342,12.129827409798438,12.190648754489235,1020742
1996-12-19,12.330558776855469,12.37921713843202,12.1784831170302,12.19064279640682,1162612
1996-12-20,12.409651756286621,12.561729604872346,12.373153072626048,12.446153713959005,1404873
1996-12-23,12.433977127075195,12.488730626110858,12.385315474556783,12.385315474556783,423806
1996-12-24,12.433977127075195,12.433977127075195,12.433977127075195,12.433977127075195,0
1996-12-25,12.433977127075195,12.433977127075195,12.433977127075195,12.433977127075195,0
1996-12-26,12.433977127075195,12.433977127075195,12.433977127075195,12.433977127075195,0
1996-12-27,12.652990341186523,12.652990341186522,12.482640161380294,12.482640161380294,441840
1996-12-30,12.914546966552734,12.94498109935432,12.725967096157373,12.725967096157373,977460
1996-12-31,12.914546966552734,12.914546966552736,12.914546966552736,12.914546966552736,0
1997-01-01,12.914546966552734,12.914546966552736,12.914546966552736,12.914546966552736,0
1997-01-02,12.628643989562988,12.750308462885132,12.604298435385003,12.750308462885132,1195675
1997-01-03,12.871977806091309,12.896293901298097,12.701648366510298,12.707719478113699,1320112
1997-01-06,13.297792434692383,13.297792434692383,12.896292610496989,12.896292610496989,2076351
1997-01-07,13.14571475982666,13.370796592822622,13.07880485126698,13.297792655076885,2154500
1997-01-08,13.480277061462402,13.498525315620993,13.115303247590658,13.218717296739271,2371513
1997-01-09,13.577619552612305,13.577619552612305,13.322129877033117,13.401201621809713,3569593
1997-01-10,13.516782760620117,13.638448371551194,13.395118241026834,13.614129000221142,2677495
1997-01-13,14.033853530883789,14.033853530883789,13.626287996832614,13.626287996832614,1695827
1997-01-14,14.465758323669434,14.55701488844128,13.960848767171223,14.046010211046493,3127151
1997-01-15,14.10685920715332,14.593517320591197,14.052103512230556,14.526607395816622,2413593
